"Player","Team","POS","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" "," ","","",""
"Brandin Cooks","DALhigh","WR56","3.4","20.7","0.1","56.5","692.8","5.6","0.5","161.1"
"","high","5.0","34.0","0.2","60.0","724.0","7.0","0.0","207.4"
"","low","0.0","0.0","0.0","54.0","667.9","4.7","1.0","154.7"
"Mike Williams","NYJhigh","WR57","2.3","9.2","0.0","56.1","752.5","4.8","0.5","160.6"
"","high","4.8","27.0","0.2","59.0","794.0","5.7","0.0","212.8"
"","low","0.0","0.0","0.0","54.0","711.0","4.0","1.0","150.1"
"DeMario Douglas","NEhigh","WR58","8.4","44.4","0.1","61.7","745.7","3.2","0.9","158.9"
"","high","11.7","69.8","0.3","65.0","782.0","4.0","0.8","219.7"
"","low","4.5","25.8","0.0","59.0","693.0","2.7","1.0","148.7"
"Jerome Ford","CLEhigh","RB35","168.7","662.9","4.0","34.2","243.9","1.9","0.8","158.6"
"","high","203.2","820.5","5.2","41.0","292.0","5.0","0.5","188.8"
"","low","151.5","564.0","3.0","27.0","194.0","1.0","1.0","147.0"
"Keon Coleman","BUFhigh","WR59","1.0","4.8","0.0","55.8","745.3","5.0","1.1","158.6"
"","high","3.0","14.0","0.0","66.0","890.0","6.0","0.4","214.2"
"","low","0.0","0.0","0.0","45.4","567.7","4.0","2.0","136.2"
"Brock Bowers","LVhigh","TE11","0.0","0.0","0.0","62.9","696.1","4.6","1.1","158.0"
"","high","0.0","0.0","0.0","68.1","752.0","5.0","0.4","226.2"
"","low","0.0","0.0","0.0","56.5","649.4","3.8","2.0","150.3"
"Dallas Goedert","PHIhigh","TE12","0.0","0.0","0.0","65.5","690.7","4.0","0.5","157.7"
